shift_cm_inverse,intensity
2624.7,0.4329
2627.4,0.4346
2630.1,0.4346
2632.9,0.4362
2635.6,0.4371
2638.4,0.4388
2641.1,0.4396
2643.8,0.4430
2646.6,0.4446
2649.3,0.4480
2652.1,0.4539
2654.8,0.4606
2657.5,0.4681
2660.3,0.4807
2663.0,0.4966
2665.8,0.5193
2668.5,0.5403
2671.2,0.5705
2674.0,0.5998
2676.7,0.6200
2679.5,0.6384
2682.2,0.6468
2684.9,0.6401
2687.7,0.6200
2690.4,0.5931
2693.2,0.5730
2695.9,0.5487
2698.6,0.5260
2701.4,0.5076
2704.1,0.4883
2706.8,0.4757
2709.6,0.4673
2712.3,0.4597
2715.1,0.4547
2717.8,0.4497
2720.5,0.4463
2723.3,0.4430
2726.0,0.4413
2728.8,0.4388
2731.5,0.4379
2734.2,0.4371
2737.0,0.4362
2739.7,0.4346
2742.5,0.4346
2745.2,0.4346
2747.9,0.4329
2750.7,0.4329
2753.4,0.4329
2756.2,0.4329
2758.9,0.4320
2761.6,0.4320
2764.4,0.4312
2767.1,0.4312
2769.9,0.4312
2772.6,0.4312
2775.3,0.4304
2778.1,0.4304
2780.8,0.4304
2783.6,0.4295
2786.3,0.4304
2789.0,0.4304
2791.8,0.4295
2794.5,0.4295
2797.3,0.4304
2800.0,0.4295
2802.7,0.4295
2805.5,0.4295
2808.2,0.4295
2811.0,0.4295
2813.7,0.4295
2816.4,0.4295
2819.2,0.4295
2821.9,0.4295
2824.7,0.4295
2827.4,0.4295
2830.1,0.4295
2832.9,0.4295
2835.6,0.4295
2838.4,0.4295
2841.1,0.4295
2843.8,0.4295
2846.6,0.4295
2849.3,0.4295
2852.1,0.4295
2854.8,0.4295
2857.5,0.4295
2860.3,0.4295
2863.0,0.4295
2865.8,0.4295
2868.5,0.4295
2871.2,0.4295
2874.0,0.4295
2876.7,0.4304
2879.5,0.4304
2882.2,0.4304
2884.9,0.4312
2887.7,0.4304
2890.4,0.4304
2893.2,0.4304
2895.9,0.4312
2898.6,0.4312
2901.4,0.4312
2904.1,0.4329
2906.8,0.4329
2909.6,0.4329
2912.3,0.4346
2915.1,0.4354
2917.8,0.4362
2920.5,0.4362
2923.3,0.4362
2926.0,0.4371
2928.8,0.4379
2931.5,0.4379
2934.2,0.4379
2937.0,0.4379
2939.7,0.4379
2942.5,0.4379
2945.2,0.4379
2947.9,0.4379
2950.7,0.4371
2953.4,0.4371
2956.2,0.4362
2958.9,0.4354
2961.6,0.4346
2964.4,0.4337
2967.1,0.4329
2969.9,0.4320
2972.6,0.4312
2975.3,0.4295
2978.1,0.4295
2980.8,0.4295
2983.6,0.4295
2986.3,0.4295
2989.0,0.4295
2991.8,0.4287
